"Step","llm_v4_direct_select_pos_1 - total_success","llm_v4_direct_select_pos_1 - total_success__MIN","llm_v4_direct_select_pos_1 - total_success__MAX","llm_v3_pos_neg_dst - total_success","llm_v3_pos_neg_dst - total_success__MIN","llm_v3_pos_neg_dst - total_success__MAX","fbe_baseline - total_success","fbe_baseline - total_success__MIN","fbe_baseline - total_success__MAX","llm_v2_pos_cot - total_success","llm_v2_pos_cot - total_success__MIN","llm_v2_pos_cot - total_success__MAX","l3mvn_baseline_local_step_15 - total_success","l3mvn_baseline_local_step_15 - total_success__MIN","l3mvn_baseline_local_step_15 - total_success__MAX","llm_v1_no_cot_local_step_15 - total_success","llm_v1_no_cot_local_step_15 - total_success__MIN","llm_v1_no_cot_local_step_15 - total_success__MAX","sem_exp_baseline - total_success","sem_exp_baseline - total_success__MIN","sem_exp_baseline - total_success__MAX"
"0","NaN","","","NaN","","","NaN","","","NaN","","","NaN","","","NaN","","","NaN","",""
"10","NaN","","","NaN","","","NaN","","","NaN","","","NaN","","","NaN","","","NaN","",""
"20","NaN","","","NaN","","","NaN","","","NaN","","","NaN","","","NaN","","","NaN","",""
"30","NaN","","","NaN","","","NaN","","","NaN","","","NaN","","","NaN","","","0","0","0"
"40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70","0","0","0","0","0","0","0","0","0","0","0","0","0.5","0.5","0.5","0","0","0","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"80","0.3333333333333333","0.3333333333333333","0.3333333333333333","0","0","0","0.5","0.5","0.5","0.5","0.5","0.5","0.6666666666666666","0.6666666666666666","0.6666666666666666","0","0","0","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"90","0.3333333333333333","0.3333333333333333","0.3333333333333333","0","0","0","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.5","0.5","0.5","0.5","0.5","0.5","0","0","0","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"100","0.3333333333333333","0.3333333333333333","0.3333333333333333","0","0","0","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.5","0.5","0.5","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"110","0.25","0.25","0.25","0","0","0","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.4","0.4","0.4","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333"
